service_year,state,oop_actual,oop_inflation_adjusted,remoteness
2011,Qld,28.24,37.1,Very remote
2011,WA,33.47,40.75,Very remote
2011,SA,19.51,25.83,Very remote
2011,Tas,32.71,44.02,Very remote
2011,NT,32.94,41.84,Very remote
2012,Aus,32.63,41.68,Very remote
2012,NSW,28.7,36.87,Very remote
2012,Qld,29.63,38.07,Very remote
2012,WA,37.07,44.33,Very remote
2012,SA,20.24,26.11,Very remote
2012,Tas,33.45,44.2,Very remote
2012,NT,34.77,43.7,Very remote
2013,Aus,34.54,43.35,Very remote
2013,NSW,31.17,39.19,Very remote
2013,Qld,30.67,38.69,Very remote
2013,WA,40.41,47.6,Very remote
2013,SA,21.41,27.0,Very remote
2013,Tas,35.83,46.92,Very remote
2013,NT,36.36,45.67,Very remote
2014,Aus,35.78,44.43,Very remote
2014,NSW,28.54,35.5,Very remote
2014,Qld,32.82,41.0,Very remote
2014,WA,41.13,48.25,Very remote
2014,SA,22.56,28.29,Very remote
2014,Tas,38.32,49.65,Very remote
2014,NT,37.95,47.78,Very remote
2015,Aus,37.01,45.7,Very remote
2015,NSW,38.68,47.73,Very remote
2015,Qld,33.6,41.9,Very remote
2015,WA,42.37,49.81,Very remote
2015,SA,25.15,31.38,Very remote
2015,Tas,36.63,46.85,Very remote
2015,NT,39.95,50.36,Very remote
2016,Aus,38.39,47.06,Very remote
2016,NSW,32.36,39.57,Very remote
2016,Qld,34.74,43.0,Very remote
2016,WA,43.87,51.94,Very remote
2016,SA,26.96,33.3,Very remote
2016,Tas,39.85,50.42,Very remote
2016,NT,41.34,51.31,Very remote
2017,Aus,39.78,48.32,Very remote
2017,NSW,34.64,41.89,Very remote
2017,Qld,35.63,43.74,Very remote
2017,WA,45.18,53.62,Very remote
2017,SA,29.37,35.82,Very remote
2017,Tas,40.74,51.03,Very remote
2017,NT,44.02,54.15,Very remote
2018,Aus,40.68,48.89,Very remote
2018,NSW,37.3,44.56,Very remote
2018,Qld,36.76,44.77,Very remote
2018,WA,45.27,53.56,Very remote
2018,SA,31.06,37.42,Very remote
2018,Tas,50.59,62.68,Very remote
2018,NT,44.2,53.42,Very remote
2019,Aus,41.23,48.75,Very remote
2019,NSW,40.14,47.24,Very remote
2019,Qld,37.59,45.01,Very remote
2019,WA,45.82,53.99,Very remote
2019,SA,32.94,38.96,Very remote
2019,Tas,44.34,53.44,Very remote
2019,NT,43.88,52.39,Very remote
2020,Aus,44.08,50.3,Very remote
2020,NSW,41.56,47.0,Very remote
2020,Qld,42.19,48.76,Very remote
2020,WA,46.37,53.38,Very remote
2020,SA,37.54,43.13,Very remote
2020,Tas,47.42,55.77,Very remote
2020,NT,44.75,51.78,Very remote
2021,Aus,44.99,50.05,Very remote
2021,NSW,45.3,49.09,Very remote
2021,Qld,44.83,51.14,Very remote
2021,WA,46.24,52.84,Very remote
2021,SA,38.17,43.33,Very remote
2021,Tas,44.69,51.65,Very remote
2021,NT,48.36,56.25,Very remote
2022,Aus,46.43,50.01,Very remote
2022,NSW,49.65,53.32,Very remote
2022,Qld,46.19,49.92,Very remote
2022,WA,47.63,51.25,Very remote
2022,SA,40.95,44.36,Very remote
2022,Tas,49.95,54.33,Very remote
2022,NT,45.7,49.4,Very remote
2023,Aus,48.9,48.9,Very remote
2023,NSW,53.02,53.02,Very remote
2023,Qld,48.73,48.73,Very remote
2023,WA,50.64,50.64,Very remote
2023,SA,43.55,43.55,Very remote
2023,Tas,40.66,40.66,Very remote
2023,NT,46.75,46.75,Very remote
